Eddard,Stark,Ned@westeros.net,Research & Development,100,176
Benjen,Stark,ColdHands@westeros.net,Auditing,601,107
Catelyn,Stark,Mother@westeros.net,Human Resources,302,141
Arya,Stark,A_Girl@westeros.net,Research & Development,103,157
Robb,Stark,YoungWolf@westeros.net,Research & Development,104,124
Sansa,Stark,LittleDove@westeros.net,Research & Development,105,151
Bran,Stark,TheRaven@westeros.net,Research & Development,106,174
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107,150
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608,135
Tyrion,Lannister,TheImp@westeros.net,Accounting,409,153
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410,187
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411,152
Robert,Baratheon,TheUsurper@westeros.net,Sales,512,129
Stannis,Baratheon,ThePromised@westeros.net,Sales,513,134
Renly,Baratheon,SummerKing@westeros.net,Sales,514,141
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215,175
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216,182
